simply_label,JMJD3_0,JMJD3_1,IRF4_0,IRF4_1,HIF1a_0,HIF1a_1,ERK_0,ERK_1,IRF3_0,IRF3_1,TRAF2_0,TRAF2_1,JNK_0,JNK_1,KLF4_0,KLF4_1,SOCS1_0,SOCS1_1,PPARG_0,PPARG_1,STAT3_IL6_0,STAT3_IL6_1,STAT3_IL10_0,STAT3_IL10_1,SOCS3_0,SOCS3_1,ISGF3_0,ISGF3_1,NFKB_0,NFKB_1,AP1_0,AP1_1,IRF1_0,IRF1_1,IRF7_0,IRF7_1,STAT1_0,STAT1_1,STAT5_0,STAT5_1,STAT4_0,STAT4_1,STAT6_0,STAT6_1,Other_0,Other_1,D1_0,D1_1,FCGR_0,FCGR_1,IL6R_0,IL6R_1,TLR4_0,TLR4_1,IL1R_0,IL1R_1,IFNAR1_0,IFNAR1_1,TNFR_0,TNFR_1,IL10R_0,IL10R_1,IFNGR_0,IFNGR_1,A2aR_0,A2aR_1,CSF2Ra_0,CSF2Ra_1,IL4Ra_0,IL4Ra_1,IL12R_0,IL12R_1,IFNG_e_0,IFNG_e_1,GMCSF_e_0,GMCSF_e_1,IL1B_e_0,IL1B_e_1,IgG_e_0,IgG_e_1,LPS_e_0,LPS_e_1,Adenosine_e_0,Adenosine_e_1,EGFR_e_0,EGFR_e_1,IL4_e_0,IL4_e_1,IL6_e_0,IL6_e_1,IL10_e_0,IL10_e_1,IFNb_e_0,IFNb_e_1,TNFa_e_0,TNFa_e_1,IL12_e_0,IL12_e_1,IFNb_low_0,IFNb_low_1,IFNa_out_0,IFNa_out_1,IFNG_out_0,IFNG_out_1,IFNb_out_0,IFNb_out_1,CXCL10_out_0,CXCL10_out_1,IL12_out_0,IL12_out_1,VEGF_out_0,VEGF_out_1,IL6_out_0,IL6_out_1,IL10_out_0,IL10_out_1,TNFa_out_0,TNFa_out_1
M2a*,576,576,576,576,960,0,576,576,768,0,576,576,576,576,576,576,432,576,576,576,768,0,576,576,384,768,,,576,0,576,576,576,576,,,576,0,576,576,576,576,0,1152,576,576,576,576,768,0,768,384,960,0,576,576,,,576,576,576,576,576,576,576,576,576,576,0,1152,576,576,288,288,288,288,384,192,384,192,576,0,288,288,384,192,0,576,384,192,288,288,576,0,288,288,288,288,576,0,576,0,576,576,768,0,576,576,576,0,960,0,576,0,0,576,576,576
M2b,,,,,960,0,,,,,,,,,,,,,,,384,0,,,0,1536,,,0,2048,,,,,,,,,,,,,,,,,,,,,384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960,0,0,2816,0,15360,,
M2b*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2b/M2c/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,256,,
M2b/M2d*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,384,,
M2c,1584,1584,3168,3168,5824,0,3168,3168,3456,2304,3168,3168,3168,3168,3168,3168,3168,8448,3168,3168,3520,0,0,5760,704,5632,2304,2304,3168,0,3168,3168,3168,3168,2304,2304,4224,0,3168,3168,3520,2816,6336,0,3168,3168,3168,3168,4608,0,3520,2816,4320,1440,3168,3168,2304,2304,3168,3168,0,3168,4224,2816,3744,2592,3168,3168,6336,0,3520,2816,1760,1408,1584,1584,2016,1152,2304,864,2592,576,1872,1296,2816,352,3168,0,1760,1408,1584,1584,2016,1152,1584,1584,1760,1408,3168,2304,3168,2304,3520,2816,3456,2304,3168,3168,3168,0,5824,0,3168,0,0,3168,3168,3168
M2c*,,,1056,1056,,,,,1344,128,1248,864,1344,864,1056,1152,1056,4608,,,1344,0,,,384,3072,,,,,1056,1056,,,,,,,,,1344,768,2112,0,1056,864,,,,,1344,768,1728,0,,,,,,,,,1920,768,1056,1056,,,2112,0,,,,,,,,,672,384,,,,,864,192,,,,,,,,,624,432,,,,,,,,,1344,128,1056,1056,1056,0,,,1056,0,,,1056,864
M2c/NoLabel*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,0,,,,
M2ca*,,,,,,,,,,,,,,,,,,,864,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M2cb*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
