"label","JMJD3_0","JMJD3_1","IRF4_0","IRF4_1","HIF1a_0","HIF1a_1","ERK_0","ERK_1","IRF3_0","IRF3_1","TRAF2_0","TRAF2_1","JNK_0","JNK_1","KLF4_0","KLF4_1","SOCS1_0","SOCS1_1","PPARG_0","PPARG_1","STAT3_IL6_0","STAT3_IL6_1","STAT3_IL10_0","STAT3_IL10_1","SOCS3_0","SOCS3_1","ISGF3_0","ISGF3_1","NFKB_0","NFKB_1","AP1_0","AP1_1","IRF1_0","IRF1_1","IRF7_0","IRF7_1","STAT1_0","STAT1_1","STAT5_0","STAT5_1","STAT4_0","STAT4_1","STAT6_0","STAT6_1","Other_0","Other_1","D1_0","D1_1","FCGR_0","FCGR_1","IL6R_0","IL6R_1","TLR4_0","TLR4_1","IL1R_0","IL1R_1","IFNAR1_0","IFNAR1_1","TNFR_0","TNFR_1","IL10R_0","IL10R_1","IFNGR_0","IFNGR_1","A2aR_0","A2aR_1","CSF2Ra_0","CSF2Ra_1","IL4Ra_0","IL4Ra_1","IL12R_0","IL12R_1","IFNG_e_0","IFNG_e_1","GMCSF_e_0","GMCSF_e_1","IL1B_e_0","IL1B_e_1","IgG_e_0","IgG_e_1","LPS_e_0","LPS_e_1","Adenosine_e_0","Adenosine_e_1","EGFR_e_0","EGFR_e_1","IL4_e_0","IL4_e_1","IL6_e_0","IL6_e_1","IL10_e_0","IL10_e_1","IFNb_e_0","IFNb_e_1","TNFa_e_0","TNFa_e_1","IL12_e_0","IL12_e_1","IFNb_low_0","IFNb_low_1","IFNa_out_0","IFNa_out_1","IFNG_out_0","IFNG_out_1","IFNb_out_0","IFNb_out_1","CXCL10_out_0","CXCL10_out_1","IL12_out_0","IL12_out_1","VEGF_out_0","VEGF_out_1","IL6_out_0","IL6_out_1","IL10_out_0","IL10_out_1","TNFa_out_0","TNFa_out_1"
"M2*",960,960,960,960,768,1728,960,960,1280,NA,960,960,1152,960,960,1152,528,2496,960,1152,768,1536,1024,960,1152,768,NA,NA,1152,NA,1152,960,960,960,NA,NA,960,NA,960,960,960,960,NA,1920,960,960,960,960,256,2048,768,1536,1088,96,960,960,NA,NA,960,960,1024,960,960,960,960,960,960,960,NA,1920,960,960,480,480,480,480,384,576,128,832,448,512,480,480,384,576,NA,960,384,576,480,480,960,NA,480,480,480,480,960,NA,960,NA,960,960,1280,NA,960,960,960,NA,768,1728,1056,1536,416,960,960,960
"M2/M2c/NoLabel*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA
"M2/M2d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,480,NA,2880,NA,384,NA,NA,32,NA,NA,NA,NA,NA,480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA
"M2/M2d*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M2a",2112,2112,2112,2112,3328,NA,2112,2112,2304,1536,2112,2112,2112,2112,2112,2112,1584,2112,2112,2112,2816,NA,2112,2112,1408,2816,1536,1536,2112,NA,2112,2112,2112,2112,1536,1536,2112,NA,2112,2112,2112,2112,NA,4224,2112,2112,2112,2112,3072,NA,2816,NA,2880,960,2112,2112,1536,1536,2112,2112,2112,2112,2112,2112,2496,1728,2112,2112,NA,4224,2112,2112,1056,1056,1056,1056,1344,768,1536,576,1728,384,1248,864,1408,704,NA,2112,1408,704,1056,1056,1344,768,1056,1056,1056,1056,2112,1536,2112,1536,2112,2112,2304,1536,2112,2112,2112,NA,3328,NA,2112,NA,NA,2112,2112,2112
"M2a*",576,576,576,576,768,NA,576,576,768,NA,576,576,576,576,576,576,432,576,576,576,768,NA,576,576,384,768,NA,NA,576,NA,576,576,576,576,NA,NA,576,NA,576,576,576,576,NA,1152,576,576,576,576,768,NA,768,NA,960,NA,576,576,NA,NA,576,576,576,576,576,576,576,576,576,576,NA,1152,576,576,288,288,288,288,384,192,384,192,576,NA,288,288,384,192,NA,576,384,192,288,288,576,NA,288,288,288,288,576,NA,576,NA,576,576,768,NA,576,576,576,NA,768,NA,576,NA,NA,576,576,576
"M2b",NA,NA,NA,NA,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,1536,NA,NA,NA,2048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,192,NA,NA,2816,NA,5120,NA,NA
"M2b*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"M2b/M2c/M2d*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,256,NA,NA
"M2b/M2d*",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA
